,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.78,0.44,-0.05,1.59,0.02,0.01,747.0,1536.0,1.03
beta_id[0],-0.54,0.79,-2.02,0.94,0.01,0.01,3584.0,10623.0,1.0
beta_id[1],-5.24,1.03,-7.17,-3.31,0.02,0.02,1675.0,6063.0,1.01
beta_id[2],3.26,0.79,1.76,4.73,0.01,0.01,3415.0,10584.0,1.01
beta_id[3],-5.32,1.53,-8.11,-2.35,0.04,0.03,1349.0,2366.0,1.01
beta_id[4],-0.83,1.04,-2.8,1.11,0.03,0.02,1657.0,5874.0,1.01
beta_id[5],1.66,0.79,0.16,3.11,0.01,0.01,3484.0,11088.0,1.0
beta_id[6],-1.7,0.79,-3.19,-0.21,0.01,0.01,3221.0,10017.0,1.01
beta_id[7],1.0,0.79,-0.49,2.46,0.01,0.01,3548.0,10604.0,1.0
beta_id[8],-5.43,2.11,-9.46,-1.54,0.06,0.04,1194.0,2074.0,1.02
beta_id[9],-0.23,0.79,-1.71,1.25,0.01,0.01,3215.0,10672.0,1.01
beta_id[10],1.92,0.8,0.43,3.42,0.01,0.01,3612.0,11660.0,1.0
beta_id[11],-0.73,0.8,-2.24,0.74,0.01,0.01,3206.0,9971.0,1.01
beta_id[12],0.89,0.78,-0.62,2.31,0.01,0.01,3556.0,12228.0,1.0
beta_id[13],1.19,0.81,-0.31,2.74,0.02,0.01,2943.0,9263.0,1.01
beta_id[14],0.78,0.79,-0.7,2.27,0.01,0.01,3684.0,11129.0,1.0
beta_id[15],-1.78,0.79,-3.26,-0.3,0.01,0.01,3659.0,11959.0,1.0
beta_id[16],0.12,0.82,-1.44,1.65,0.02,0.01,2744.0,8586.0,1.01
beta_id[17],0.21,0.81,-1.33,1.72,0.01,0.01,3464.0,10508.0,1.0
beta_id[18],1.88,1.36,-0.64,4.48,0.04,0.02,1433.0,2517.0,1.01
beta_id[19],2.27,0.79,0.77,3.72,0.01,0.01,3533.0,10899.0,1.0
beta_id[20],-0.42,0.82,-1.97,1.12,0.02,0.01,2740.0,7827.0,1.01
beta_id[21],-4.47,0.96,-6.28,-2.67,0.02,0.02,2136.0,5196.0,1.01
beta_id[22],-1.57,0.8,-3.08,-0.08,0.01,0.01,3613.0,11485.0,1.0
beta_id[23],-2.65,1.07,-4.63,-0.61,0.03,0.02,1591.0,4654.0,1.01
beta_id[24],1.48,1.07,-0.52,3.48,0.03,0.02,1614.0,5389.0,1.01
beta_id[25],1.18,0.82,-0.34,2.74,0.02,0.01,2789.0,8417.0,1.01
beta_id[26],-0.15,0.8,-1.67,1.34,0.02,0.01,2998.0,9767.0,1.01
beta_id[27],-0.41,0.8,-1.92,1.07,0.01,0.01,3089.0,10085.0,1.01
beta_id[28],1.63,0.8,0.09,3.1,0.01,0.01,3526.0,11451.0,1.0
beta_id[29],1.1,0.8,-0.38,2.62,0.01,0.01,3708.0,12451.0,1.0
beta_id[30],-1.51,0.79,-3.01,-0.03,0.01,0.01,3669.0,12279.0,1.0
beta_id[31],-0.3,0.78,-1.79,1.15,0.01,0.01,3642.0,11560.0,1.0
beta_id[32],-2.62,1.25,-4.99,-0.29,0.03,0.02,1528.0,2895.0,1.01
beta_id[33],-5.49,1.06,-7.44,-3.46,0.03,0.02,1637.0,5276.0,1.01
beta_id[34],0.64,0.79,-0.84,2.12,0.01,0.01,3490.0,10631.0,1.0
beta_id[35],0.93,0.81,-0.6,2.45,0.02,0.01,2883.0,9320.0,1.01
beta_id[36],1.23,0.8,-0.27,2.75,0.02,0.01,3019.0,9358.0,1.01
beta_id[37],-0.89,0.81,-2.39,0.64,0.02,0.01,2883.0,9287.0,1.01
beta_id[38],-2.6,0.86,-4.18,-0.93,0.02,0.01,2784.0,8755.0,1.01
beta_id[39],0.07,0.82,-1.49,1.58,0.02,0.01,2729.0,8278.0,1.01
beta_id[40],0.52,1.22,-1.73,2.84,0.04,0.02,1234.0,4192.0,1.01
beta_id[41],-1.4,0.79,-2.88,0.11,0.01,0.01,3639.0,11800.0,1.0
beta_id[42],0.29,0.8,-1.17,1.82,0.01,0.01,3183.0,10479.0,1.01
beta_id[43],-0.19,0.81,-1.69,1.34,0.02,0.01,2994.0,9246.0,1.01
beta_id[44],-0.33,0.81,-1.85,1.2,0.02,0.01,2861.0,8564.0,1.01
beta_id[45],0.04,0.82,-1.48,1.6,0.02,0.01,2665.0,8718.0,1.01
beta_id[46],0.13,0.82,-1.44,1.65,0.02,0.01,2624.0,7745.0,1.01
beta_id[47],-0.86,0.8,-2.33,0.68,0.02,0.01,3036.0,9543.0,1.01
beta_id[48],-1.1,0.79,-2.6,0.36,0.01,0.01,3583.0,12195.0,1.0
beta_id[49],4.4,0.79,2.91,5.88,0.01,0.01,3675.0,12140.0,1.0
beta_id[50],-0.72,0.81,-2.24,0.79,0.02,0.01,2942.0,8460.0,1.01
beta_id[51],1.0,0.82,-0.56,2.52,0.02,0.01,2742.0,8645.0,1.01
beta_id[52],1.78,0.86,0.19,3.41,0.02,0.01,2895.0,8813.0,1.01
beta_id[53],0.38,0.8,-1.13,1.87,0.01,0.01,3116.0,9177.0,1.01
beta_id[54],-0.2,0.81,-1.72,1.31,0.01,0.01,3468.0,10768.0,1.0
beta_id[55],-1.08,0.8,-2.6,0.41,0.01,0.01,3444.0,12219.0,1.0
